Report Number,title,abstract,link,author,outlier
,中文版,"Complex contracts between governments and foreign investors, covering large-scale projects, define the long-term relationship between the parties. Negotiating such contracts is difficult under any circumstances, yet emerging markets negotiating with foreign investors often face an asymmetry of resources. This ",/sites/default/files/content/docs/publications/No-210-Sauvant-FINAL-CHINESE-version.pdf, discusses how this asymmetry can be reduced through negotiations support. ,. Also available in German 
No. 209: ,A stronger role for the European Parliament in the design of the EU’s investment policy as a legitimacy safeguard,No. 209: ,/sites/default/files/content/docs/publications/No-209-Titi-FINAL.pdf,",” by Catharine Titi",
,中文版,"Since the Treaty of Lisbon, the European Commission has designed an innovative investment policy, leaving in the shadows another powerful actor. And yet, in the post-Lisbon era, the European Parliament enjoys extensive powers in the formulation of the EU’s investment policy. ",/sites/default/files/content/docs/publications/No-209-Titi-FINAL-CHINESE-version.pdf,,
No. 208: ,Corporations need to look beyond profits,No. 208: ,/sites/default/files/content/docs/publications/No-208-Sachs-Sachs-and-Lobel-FINAL.pdf,",” by Lisa Sachs, Jeffrey Sachs and Nathan Lobel",
,中文版,Lilac Nachum’s ,/sites/default/files/content/docs/publications/No-208-Sachs-Sachs-and-Lobel-FINAL-CHINESE-version.pdf," argues that society is best served when companies focus on maximizing profits rather than on their social and environmental impacts. This follows the logic of an idealized free-market economy. In practice, we argue, companies should take responsibility for the impacts they have on other stakeholders. ",
No. 207: ,"How much social responsibility should firms assume and of which kind? Firms, governments and NGOs as alternative providers of social services",No. 207: ,/sites/default/files/content/docs/publications/No-207-Nachum-FINAL.pdf,",” by Lilac Nachum",
,中文版,This ,/sites/default/files/content/docs/publications/No-207-Nachum-FINAL-CHINESE-version.pdf, proposes that the provision of social services should be based on the characteristics of the inputs and outputs. Firms should provide only social services that are aligned with their core competencies and strategies and can generate proprietary benefits. Governments (and NGOs) should assume responsibility for other social services. ,
No. 206: ,Increasing vertical spillovers from FDI: ideas from Rwanda,No. 206: ,/sites/default/files/content/docs/publications/No-206-Steenbergen-and-Sen-FINAL.pdf,",” by Victor Steenbergen and Ritwika Sen",
,中文版,"A challenge faced by governments everywhere is how to harness the positive spillovers associated with FDI inflows. This Perspective provides recommendations for attracting the “right” FDI spillovers, using institutional frameworks being developed by the Government of Rwanda as examples. ",/sites/default/files/content/docs/publications/No-206-Steenbergen-and-Sen-FINAL-CHINESE-version.pdf,,
No. 205: ,State-owned enterprises face challenges in foreign acquisitions,No. 205: ,/sites/default/files/content/docs/publications/No-205-Li-and-Xia-FINAL.pdf,",” by Jing Li and Jun Xia",
,中文版,"State-owned enterprises (SOEs) have increasingly engaged in cross-border acquisitions. However, they face challenges related to regulatory approval in host countries, especially when they aim to acquire companies with rich R&D resources. Regulatory debates around the legitimacy of SOE acquisitions prolong acquisition duration and may also prevent acquisitions from being completed. ",/sites/default/files/content/docs/publications/No-205-Li-and-Xia-FINAL-CHINESE-version.pdf,,
No. 204: ,"Inward investment will fall in the UK, post Brexit",No. 204: ,/sites/default/files/content/docs/publications/No-204-Bailey-Driffield-and-Karoglou-FINAL.pdf,",” by David Bailey, Nigel Driffield and Michail Karoglou",
,中文版,"The UK has been a bridge between the US and Europe, and more recently between Asia and Europe. The more trade barriers that exist between the UK and Europe, the less attractive the UK will become. In many sectors and in many regions inward investment is likely to decline. ",/sites/default/files/content/docs/publications/No-204-Bailey-Driffield-and-Karoglou-FINAL-CHINESE-version.pdf,,
No. 203: ,A new challenge for emerging markets: the need to develop an outward FDI policy,No. 203: ,/sites/default/files/content/docs/publications/No-203-Sauvant-FINAL.pdf,",” by Karl P. Sauvant",
,中文版,"While virtually all countries have policies in place to attract FDI, the picture is very different for outward investment. Most developed countries have policies in place, but most emerging markets do not. This Perspective argues that, to remain competitive, governments of emerging markets must develop policies for outward FDI. ",/sites/default/files/content/docs/publications/No-203-Sauvant-FINAL-CHINESE-version.pdf,,
No. 202: ,Focusing on investment facilitation – is it that difficult?,No. 202: ,/sites/default/files/content/docs/publications/No-202-Hees-and-Cavalcante-FINAL.pdf,",” by Felipe Hees and Pedro Mendonça Cavalcante",
,中文版,"Based largely on the authors’ respective personal experiences with the negotiations of the Brazilian Cooperation and Facilitation Investment Agreement, this ",/sites/default/files/content/docs/publications/No-202-Hees-and-Cavalcante-FINAL-CHINESE-version.pdf, elaborates on the concept of investment facilitation under a WTO point of view. ,
No. 201: ,Challenges on the road toward a multilateral investment court,No. 201: ,/sites/default/files/content/docs/publications/No-201-Kaufmann-Kohler-and-Potesta-FINAL.pdf,",” by Gabrielle Kaufmann-Kohler and Michele Potestà",
,中文版,"Growing criticism over investor-state arbitration has led to demands for reform from various countries, international organizations and civil society groups. This ",/sites/default/files/content/docs/publications/No-201-Kaufmann-Kohler-and-Potesta-FINAL-CHINESE-version.pdf,"addresses one option, the creation of a multilateral investment court, and reviews the main challenges that the establishment of such a court would have to master to succeed. ",
No. 200: ,The next phase of IIA reforms,No. 200: ,/sites/default/files/content/docs/publications/No-200-Garg-FINAL.pdf,",” by Saurabh Garg",
,中文版,This ,/sites/default/files/content/docs/publications/No-200-Garg-FINAL-CHINESE-version.pdf,", based partly on the author’s personal experiences with the Indian Model Bilateral Investment Treaty reform process, discusses what reforms are needed globally for the international investment regime, with a focus on the investor-state dispute resolution mechanism. ",
No. 199: ,United States corporate tax reform and global FDI flows,No. 199: ,/sites/default/files/content/docs/publications/No-199-Pérez-Ludeña-FINAL.pdf,",” by Miguel Pérez Ludeña",
,中文版,"Proposals to reform corporate tax in the United States want to encourage domestic investment by American companies. The reform may trigger a large repatriation of accumulated foreign earnings, but most of this inflow will not be directed to productive investments. ",/sites/default/files/content/docs/publications/No-199-Pérez-Ludeña-FINAL-CHINESE-version.pdf,,
No. 198: ,How to handle the job-offshoring backlash?,No. 198: ,/sites/default/files/content/docs/publications/No-198-Ozawa-FINAL.pdf,",” by Terutomo Ozawa",
,中文版,"Recent political development in the advanced economies, particularly in the US, signals a fast-growing backlash to MNEs’ job-offshoring as a response to high wages at home. How best to tackle the issue must be rethought. ",/sites/default/files/content/docs/publications/No-198-Ozawa-FINAL-CHINESE-version.pdf,,
No. 197: ,FDI sectorial diversification: the trade-transport-tourism nexus,No. 197: ,/sites/default/files/content/docs/publications/Perspective-Formatted-Arias-Urones-Mahate-April-10-2017.pdf,",” by Ana Arias Urones and Ashraf Ali Mahate",
